gpc_refno,sector,subsector,scope,activity,value_mtco2e,notation_key,source_id,notes
I.1.1,Stationary Energy,Natural gas,1,Combustion of natural gas in homes and buildings,21021,,src-cascadia-ghg-inventory,"Confirmed from LFP GHG Inventory Report Table 3. Residential 18692 + commercial 2329. 22% of communitywide 2023. Largest building source; building electrification + efficiency is the key lever."
I.1.2,Stationary Energy,Electricity,2,Grid electricity consumed in homes and buildings,2909,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. Residential 2501 + commercial 406. Up 177% vs 2019 — driven by a 352% rise in Seattle City Light reported carbon intensity (power-supply mix change), not consumption (which rose <1%). Still only 3% of communitywide 2023."
I.1.3,Stationary Energy,Fuel oil,1,Combustion of fuel oil for heating,2978,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report (Figure 6). WA EIA consumption scaled by population x EPA EF Hub factors."
I.1.4,Stationary Energy,Propane,1,Combustion of propane for heating/cooking,748,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report (Figure 6). WA EIA consumption scaled by population x EPA EF Hub factors."
II.1.1,Transportation,On-road vehicles,1,Gasoline/diesel combustion in on-road vehicles (in-boundary + transboundary),23450,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (matches Fehr & Peers VMT Study). Down 8% vs 2019; reduction driven by shorter trip lengths and EV uptake, not fewer trips. 24% of communitywide 2023."
II.4.1,Transportation,Air travel (aviation),3,Air travel allocated to LFP residents,28452,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. SeaTac jet-A fuel allocated by passenger survey + population + median household income. Largest single source — 30% of communitywide 2023. BASIC+ Scope 3."
II.5.1,Transportation,Off-road equipment,1,Recreational/construction/lawn-garden equipment,6377,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA MOVES model scaled by population. 7% of communitywide 2023. BASIC+."
III.1.1,Waste,Landfilled waste,3,Generation and disposal of landfilled waste,1512,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. King County waste characterization x EPA WARM. Exported waste = Scope 3. 77% of solid waste sector; reduce landfilled waste is a recommended policy lever."
III.4.1,Waste,Composted waste,1,Generation and disposal of composted waste,448,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA WARM factors. 23% of solid waste sector. GPC biological treatment."
IV.1,IPPU,Refrigerants (HFCs),1,Fugitive refrigerant leakage from cooling equipment,7493,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA national GHG inventory scaled by population. High-GWP HFCs from AC and refrigeration. 8% of communitywide 2023. BASIC+."
V.2.1,AFOLU,Tree loss (land use change),1,Emissions from tree canopy loss / land conversion,510,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (Land Use / Tree Loss). ICLEI LEARN tool, 2019-2021 average. Tree canopy SEQUESTRATION of -5550 MTCO2e reported separately as a sink — see Canopy view & canopy_afolu.csv. <1% of communitywide 2023."
