gpc_refno,sector,subsector,scope,activity,value_mtco2e,notation_key,source_id,notes
I.1.1,Stationary Energy,Natural gas,1,Combustion of natural gas in homes and buildings,21352,,src-cascadia-ghg-inventory,"Confirmed from LFP GHG Inventory Report Table 3. Residential 19068 + commercial 2284. Up 11% vs 2019 driven by higher fugitive emissions and carbon intensity despite ~2% lower consumption. 23% of communitywide 2022."
I.1.2,Stationary Energy,Electricity,2,Grid electricity consumed in homes and buildings,950,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. Residential 836 + commercial 114. ~99% Seattle City Light. 1% of communitywide 2022."
I.1.3,Stationary Energy,Fuel oil,1,Combustion of fuel oil for heating,3172,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report (Figure 6). WA EIA consumption scaled by population x EPA EF Hub factors."
I.1.4,Stationary Energy,Propane,1,Combustion of propane for heating/cooking,888,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report (Figure 6). WA EIA consumption scaled by population x EPA EF Hub factors."
II.1.1,Transportation,On-road vehicles,1,Gasoline/diesel combustion in on-road vehicles (in-boundary + transboundary),23322,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (matches Fehr & Peers VMT Study). Down 8% vs 2019. PSRC travel demand model + StreetLight post-COVID adjustment. 25% of communitywide 2022."
II.4.1,Transportation,Air travel (aviation),3,Air travel allocated to LFP residents,25484,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. SeaTac jet-A fuel allocated by passenger survey + population + median household income. 28% of communitywide 2022. BASIC+ Scope 3."
II.5.1,Transportation,Off-road equipment,1,Recreational/construction/lawn-garden equipment,6313,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA MOVES model scaled by population. 7% of communitywide 2022. BASIC+."
III.1.1,Waste,Landfilled waste,3,Generation and disposal of landfilled waste,1568,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. King County waste characterization x EPA WARM. Exported waste = Scope 3."
III.4.1,Waste,Composted waste,1,Generation and disposal of composted waste,462,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA WARM factors. GPC biological treatment."
IV.1,IPPU,Refrigerants (HFCs),1,Fugitive refrigerant leakage from cooling equipment,7471,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3. EPA national GHG inventory scaled by population. 8% of communitywide 2022. BASIC+."
V.2.1,AFOLU,Tree loss (land use change),1,Emissions from tree canopy loss / land conversion,510,,src-cascadia-ghg-inventory,"Confirmed from GHG Inventory Report Table 3 (Land Use / Tree Loss). ICLEI LEARN tool, 2019-2021 average. Tree canopy SEQUESTRATION of -5550 MTCO2e reported separately as a sink — see Canopy view. <1% of communitywide 2022."
